,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,28.53621901,16.48490856,0.021585903,10.34873025,67.25670591,16.48490856,21.92614895,21.93184582,21.93441562,21.93801917,21.9416062,21.94485306,21.94862433,21.9504895,21.95191873,0.021585903,19.62857288,19.66046974,19.6652809,19.69410354,19.72072828,19.74534392,19.75978302,19.7863152,19.80743615,28.53621901,32.99631134,33.001485,33.0082196,33.01408384,33.01832386,33.02443995,33.0296299,33.03341844,33.03854414,10.34873025,23.53564704,23.50767179,23.44923914,23.42412754,23.39149726,23.35054602,23.30962449,23.27191782,23.22278122,67.25670591,67.21405761,67.18586464,67.18292089,67.18333539,67.16977745,67.17601898,67.1660776,67.18040804,67.1747985
2,X2010.1,2,0,2010,28.95544078,19.80712515,14.4722467,13.26036616,76.31399045,19.80712515,16.48490856,21.93184582,21.93441562,21.93801917,21.9416062,21.94485306,21.94862433,21.9504895,21.95191873,14.4722467,0.021585903,19.66046974,19.6652809,19.69410354,19.72072828,19.74534392,19.75978302,19.7863152,19.80743615,28.95544078,28.53621901,33.001485,33.0082196,33.01408384,33.01832386,33.02443995,33.0296299,33.03341844,33.03854414,13.26036616,10.34873025,23.50767179,23.44923914,23.42412754,23.39149726,23.35054602,23.30962449,23.27191782,23.22278122,76.31399045,67.25670591,67.18586464,67.18292089,67.18333539,67.16977745,67.17601898,67.1660776,67.18040804,67.1747985
3,X2010.2,3,0,2010,28.74284611,17.90437644,1.183700441,11.10992696,70.92044728,17.90437644,19.80712515,16.48490856,21.93441562,21.93801917,21.9416062,21.94485306,21.94862433,21.9504895,21.95191873,1.183700441,14.4722467,0.021585903,19.6652809,19.69410354,19.72072828,19.74534392,19.75978302,19.7863152,19.80743615,28.74284611,28.95544078,28.53621901,33.0082196,33.01408384,33.01832386,33.02443995,33.0296299,33.03341844,33.03854414,11.10992696,13.26036616,10.34873025,23.44923914,23.42412754,23.39149726,23.35054602,23.30962449,23.27191782,23.22278122,70.92044728,76.31399045,67.25670591,67.18292089,67.18333539,67.16977745,67.17601898,67.1660776,67.18040804,67.1747985
4,X2010.3,4,0,2010,28.93879404,15.89800394,0,7.493910111,63.13842453,15.89800394,17.90437644,19.80712515,16.48490856,21.93801917,21.9416062,21.94485306,21.94862433,21.9504895,21.95191873,0,1.183700441,14.4722467,0.021585903,19.69410354,19.72072828,19.74534392,19.75978302,19.7863152,19.80743615,28.93879404,28.74284611,28.95544078,28.53621901,33.01408384,33.01832386,33.02443995,33.0296299,33.03341844,33.03854414,7.493910111,11.10992696,13.26036616,10.34873025,23.42412754,23.39149726,23.35054602,23.30962449,23.27191782,23.22278122,63.13842453,70.92044728,76.31399045,67.25670591,67.18333539,67.16977745,67.17601898,67.1660776,67.18040804,67.1747985
5,X2010.4,5,0,2010,29.80169488,16.94514346,0,6.206786712,61.77201926,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,21.9416062,21.94485306,21.94862433,21.9504895,21.95191873,0,0,1.183700441,14.4722467,0.021585903,19.72072828,19.74534392,19.75978302,19.7863152,19.80743615,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,33.01832386,33.02443995,33.0296299,33.03341844,33.03854414,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,23.39149726,23.35054602,23.30962449,23.27191782,23.22278122,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591,67.16977745,67.17601898,67.1660776,67.18040804,67.1747985
6,X2010.5,6,0,2010,30.70113614,17.34382017,0,6.427622133,60.1654265,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,21.94485306,21.94862433,21.9504895,21.95191873,0,0,0,1.183700441,14.4722467,0.021585903,19.74534392,19.75978302,19.7863152,19.80743615,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,33.02443995,33.0296299,33.03341844,33.03854414,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,23.35054602,23.30962449,23.27191782,23.22278122,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591,67.17601898,67.1660776,67.18040804,67.1747985
7,X2010.6,7,0,2010,32.54671665,19.36720411,0,6.258865171,63.60517917,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,21.94862433,21.9504895,21.95191873,0,0,0,0,1.183700441,14.4722467,0.021585903,19.75978302,19.7863152,19.80743615,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,33.0296299,33.03341844,33.03854414,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,23.30962449,23.27191782,23.22278122,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591,67.1660776,67.18040804,67.1747985
8,X2010.7,8,0,2010,33.77609277,21.09254841,0.538325991,5.923626438,62.50781677,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,21.9504895,21.95191873,0.538325991,0,0,0,0,1.183700441,14.4722467,0.021585903,19.7863152,19.80743615,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,33.03341844,33.03854414,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,23.27191782,23.22278122,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591,67.18040804,67.1747985
9,X2010.8,9,0,2010,34.4204424,20.53100781,0,6.152051233,56.88689088,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,NA,0,0.538325991,0,0,0,0,1.183700441,14.4722467,0.021585903,19.80743615,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,33.03854414,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,23.22278122,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591,67.1747985
10,X2010.9,10,0,2010,35.4405175,22.4908831,0,5.091193654,59.14439302,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,16.48490856,0,0,0.538325991,0,0,0,0,1.183700441,14.4722467,0.021585903,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,28.53621901,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,10.34873025,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045,67.25670591
11,X2010.10,11,0,2010,35.17167634,22.01444788,1.648898678,5.858066202,56.56828411,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,19.80712515,1.648898678,0,0,0.538325991,0,0,0,0,1.183700441,14.4722467,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,28.95544078,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,13.26036616,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728,76.31399045
12,X2010.11,12,0,2010,36.23721743,21.54501194,0,4.443395364,49.54412199,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,17.90437644,0,1.648898678,0,0,0.538325991,0,0,0,0,1.183700441,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,28.74284611,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,11.10992696,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453,70.92044728
13,X2010.12,13,0,2010,36.32593288,23.758494,1.578854626,5.27069257,56.82867868,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,15.89800394,1.578854626,0,1.648898678,0,0,0.538325991,0,0,0,0,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,28.93879404,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,7.493910111,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926,63.13842453
14,X2010.13,14,0,2010,37.53923467,23.94564457,0,4.457068712,54.7703731,23.94564457,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,16.94514346,0,1.578854626,0,1.648898678,0,0,0.538325991,0,0,0,37.53923467,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,29.80169488,4.457068712,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,6.206786712,54.7703731,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265,61.77201926
15,X2010.14,15,0,2010,37.99183791,25.04862161,5.513215859,6.463818252,56.01400456,25.04862161,23.94564457,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,17.34382017,5.513215859,0,1.578854626,0,1.648898678,0,0,0.538325991,0,0,37.99183791,37.53923467,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,30.70113614,6.463818252,4.457068712,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,6.427622133,56.01400456,54.7703731,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917,60.1654265
16,X2010.15,16,0,2010,37.73109579,25.42376873,6.402643172,4.566172511,57.51227172,25.42376873,25.04862161,23.94564457,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,19.36720411,6.402643172,5.513215859,0,1.578854626,0,1.648898678,0,0,0.538325991,0,37.73109579,37.99183791,37.53923467,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,32.54671665,4.566172511,6.463818252,4.457068712,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,6.258865171,57.51227172,56.01400456,54.7703731,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677,63.60517917
17,X2010.16,17,0,2010,37.37437937,25.22919851,7.707488987,7.9579486,59.07284638,25.22919851,25.42376873,25.04862161,23.94564457,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,21.09254841,7.707488987,6.402643172,5.513215859,0,1.578854626,0,1.648898678,0,0,0.538325991,37.37437937,37.73109579,37.99183791,37.53923467,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,33.77609277,7.9579486,4.566172511,6.463818252,4.457068712,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,5.923626438,59.07284638,57.51227172,56.01400456,54.7703731,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088,62.50781677
18,X2010.17,18,0,2010,36.3761313,24.62847016,6.678854626,7.035232448,60.89763927,24.62847016,25.22919851,25.42376873,25.04862161,23.94564457,23.758494,21.54501194,22.01444788,22.4908831,20.53100781,6.678854626,7.707488987,6.402643172,5.513215859,0,1.578854626,0,1.648898678,0,0,36.3761313,37.37437937,37.73109579,37.99183791,37.53923467,36.32593288,36.23721743,35.17167634,35.4405175,34.4204424,7.035232448,7.9579486,4.566172511,6.463818252,4.457068712,5.27069257,4.443395364,5.858066202,5.091193654,6.152051233,60.89763927,59.07284638,57.51227172,56.01400456,54.7703731,56.82867868,49.54412199,56.56828411,59.14439302,56.88689088
