id,Var.1,week,value,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,22.74954407,8.777269133,0,6.462031277,75.57633727,8.777269133,18.16182522,18.17053483,18.1790907,18.18759903,18.1953907,18.20350353,18.20947715,18.21261288,18.2144021,0,48.76757973,48.84632783,48.92429265,48.92429265,48.92429265,48.92429265,49.00125536,49.08016266,49.08016266,22.74954407,29.37464109,29.37917857,29.38361744,29.38475815,29.38488855,29.38475277,29.38554076,29.38453906,29.38234845,6.462031277,33.34788696,33.37329751,33.39374996,33.40964927,33.41705172,33.41921734,33.4218353,33.4132834,33.39593376,75.57633727,85.60455441,85.59982171,85.62230273,85.65091025,85.69157163,85.7338487,85.78509838,85.83371201,85.87331761
2,X2010.1,2,0,2010,21.88295932,8.563607703,0,4.05606511,82.42471971,8.563607703,8.777269133,18.17053483,18.1790907,18.18759903,18.1953907,18.20350353,18.20947715,18.21261288,18.2144021,0,0,48.84632783,48.92429265,48.92429265,48.92429265,48.92429265,49.00125536,49.08016266,49.08016266,21.88295932,22.74954407,29.37917857,29.38361744,29.38475815,29.38488855,29.38475277,29.38554076,29.38453906,29.38234845,4.05606511,6.462031277,33.37329751,33.39374996,33.40964927,33.41705172,33.41921734,33.4218353,33.4132834,33.39593376,82.42471971,75.57633727,85.59982171,85.62230273,85.65091025,85.69157163,85.7338487,85.78509838,85.83371201,85.87331761
3,X2010.2,3,0,2010,22.86391152,9.675799974,0,4.467061817,75.32595631,9.675799974,8.563607703,8.777269133,18.1790907,18.18759903,18.1953907,18.20350353,18.20947715,18.21261288,18.2144021,0,0,0,48.92429265,48.92429265,48.92429265,48.92429265,49.00125536,49.08016266,49.08016266,22.86391152,21.88295932,22.74954407,29.38361744,29.38475815,29.38488855,29.38475277,29.38554076,29.38453906,29.38234845,4.467061817,4.05606511,6.462031277,33.39374996,33.40964927,33.41705172,33.41921734,33.4218353,33.4132834,33.39593376,75.32595631,82.42471971,75.57633727,85.62230273,85.65091025,85.69157163,85.7338487,85.78509838,85.83371201,85.87331761
4,X2010.3,4,0,2010,24.97598508,9.738436248,0,2.450740376,71.75638358,9.738436248,9.675799974,8.563607703,8.777269133,18.18759903,18.1953907,18.20350353,18.20947715,18.21261288,18.2144021,0,0,0,0,48.92429265,48.92429265,48.92429265,49.00125536,49.08016266,49.08016266,24.97598508,22.86391152,21.88295932,22.74954407,29.38475815,29.38488855,29.38475277,29.38554076,29.38453906,29.38234845,2.450740376,4.467061817,4.05606511,6.462031277,33.40964927,33.41705172,33.41921734,33.4218353,33.4132834,33.39593376,71.75638358,75.32595631,82.42471971,75.57633727,85.65091025,85.69157163,85.7338487,85.78509838,85.83371201,85.87331761
5,X2010.4,5,0,2010,23.45927317,9.757068534,0,1.189525975,83.78462397,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,18.1953907,18.20350353,18.20947715,18.21261288,18.2144021,0,0,0,0,0,48.92429265,48.92429265,49.00125536,49.08016266,49.08016266,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,29.38488855,29.38475277,29.38554076,29.38453906,29.38234845,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,33.41705172,33.41921734,33.4218353,33.4132834,33.39593376,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727,85.69157163,85.7338487,85.78509838,85.83371201,85.87331761
6,X2010.5,6,0,2010,24.27164707,9.725488906,0,1.790968957,79.2533901,9.725488906,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,18.20350353,18.20947715,18.21261288,18.2144021,0,0,0,0,0,0,48.92429265,49.00125536,49.08016266,49.08016266,24.27164707,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,29.38475277,29.38554076,29.38453906,29.38234845,1.790968957,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,33.41921734,33.4218353,33.4132834,33.39593376,79.2533901,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727,85.7338487,85.78509838,85.83371201,85.87331761
7,X2010.6,7,0,2010,24.2831933,11.79165553,2.568224299,4.040855424,87.03443899,11.79165553,9.725488906,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,18.20947715,18.21261288,18.2144021,2.568224299,0,0,0,0,0,0,49.00125536,49.08016266,49.08016266,24.2831933,24.27164707,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,29.38554076,29.38453906,29.38234845,4.040855424,1.790968957,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,33.4218353,33.4132834,33.39593376,87.03443899,79.2533901,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727,85.78509838,85.83371201,85.87331761
8,X2010.7,8,0,2010,24.8447586,11.8592027,11.00280374,5.603532646,84.39240655,11.8592027,11.79165553,9.725488906,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,18.21261288,18.2144021,11.00280374,2.568224299,0,0,0,0,0,0,49.08016266,49.08016266,24.8447586,24.2831933,24.27164707,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,29.38453906,29.38234845,5.603532646,4.040855424,1.790968957,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,33.4132834,33.39593376,84.39240655,87.03443899,79.2533901,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727,85.83371201,85.87331761
9,X2010.8,9,0,2010,24.49489535,13.86285452,52.69626168,10.26852091,88.1852462,13.86285452,11.8592027,11.79165553,9.725488906,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,18.2144021,52.69626168,11.00280374,2.568224299,0,0,0,0,0,0,49.08016266,24.49489535,24.8447586,24.2831933,24.27164707,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,29.38234845,10.26852091,5.603532646,4.040855424,1.790968957,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,33.39593376,88.1852462,84.39240655,87.03443899,79.2533901,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727,85.87331761
10,X2010.9,10,0,2010,26.66119839,15.09610734,8.488785047,14.50227534,87.85075605,15.09610734,13.86285452,11.8592027,11.79165553,9.725488906,9.757068534,9.738436248,9.675799974,8.563607703,8.777269133,8.488785047,52.69626168,11.00280374,2.568224299,0,0,0,0,0,0,26.66119839,24.49489535,24.8447586,24.2831933,24.27164707,23.45927317,24.97598508,22.86391152,21.88295932,22.74954407,14.50227534,10.26852091,5.603532646,4.040855424,1.790968957,1.189525975,2.450740376,4.467061817,4.05606511,6.462031277,87.85075605,88.1852462,84.39240655,87.03443899,79.2533901,83.78462397,71.75638358,75.32595631,82.42471971,75.57633727
