,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,23.32963226,9.209273019,0.003738318,17.80171999,86.78760674,9.209273019,18.46447797,18.47380513,18.48269599,18.49148672,18.49873698,18.50666473,18.51265285,18.51539496,18.5167606,0.003738318,39.81547763,39.87773161,39.94061113,39.94061113,39.94061113,39.94061113,40.00381394,40.06801364,40.13158071,23.32963226,29.19144103,29.19659145,29.20162095,29.20330436,29.20388521,29.2041207,29.20528557,29.20449799,29.20222741,17.80171999,39.67810239,39.66314148,39.64651646,39.62415106,39.59407329,39.56237368,39.52752206,39.48545379,39.43069089,86.78760674,81.35519575,81.34081603,81.35993634,81.3798377,81.39860006,81.42130288,81.44309013,81.46493329,81.47503944
2,X2010.1,2,0,2010,22.41999963,9.013572683,0,12.84168911,84.24499149,9.013572683,9.209273019,18.47380513,18.48269599,18.49148672,18.49873698,18.50666473,18.51265285,18.51539496,18.5167606,0,0.003738318,39.87773161,39.94061113,39.94061113,39.94061113,39.94061113,40.00381394,40.06801364,40.13158071,22.41999963,23.32963226,29.19659145,29.20162095,29.20330436,29.20388521,29.2041207,29.20528557,29.20449799,29.20222741,12.84168911,17.80171999,39.66314148,39.64651646,39.62415106,39.59407329,39.56237368,39.52752206,39.48545379,39.43069089,84.24499149,86.78760674,81.34081603,81.35993634,81.3798377,81.39860006,81.42130288,81.44309013,81.46493329,81.47503944
3,X2010.2,3,0,2010,23.62185176,10.46320047,0,11.54855679,85.18562221,10.46320047,9.013572683,9.209273019,18.48269599,18.49148672,18.49873698,18.50666473,18.51265285,18.51539496,18.5167606,0,0,0.003738318,39.94061113,39.94061113,39.94061113,39.94061113,40.00381394,40.06801364,40.13158071,23.62185176,22.41999963,23.32963226,29.20162095,29.20330436,29.20388521,29.2041207,29.20528557,29.20449799,29.20222741,11.54855679,12.84168911,17.80171999,39.64651646,39.62415106,39.59407329,39.56237368,39.52752206,39.48545379,39.43069089,85.18562221,84.24499149,86.78760674,81.35993634,81.3798377,81.39860006,81.42130288,81.44309013,81.46493329,81.47503944
4,X2010.3,4,0,2010,26.26896176,10.05274401,0.45046729,10.53110322,74.87574217,10.05274401,10.46320047,9.013572683,9.209273019,18.49148672,18.49873698,18.50666473,18.51265285,18.51539496,18.5167606,0.45046729,0,0,0.003738318,39.94061113,39.94061113,39.94061113,40.00381394,40.06801364,40.13158071,26.26896176,23.62185176,22.41999963,23.32963226,29.20330436,29.20388521,29.2041207,29.20528557,29.20449799,29.20222741,10.53110322,11.54855679,12.84168911,17.80171999,39.62415106,39.59407329,39.56237368,39.52752206,39.48545379,39.43069089,74.87574217,85.18562221,84.24499149,86.78760674,81.3798377,81.39860006,81.42130288,81.44309013,81.46493329,81.47503944
5,X2010.4,5,0,2010,24.87645039,9.757647394,0,6.74101913,71.34877582,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,18.49873698,18.50666473,18.51265285,18.51539496,18.5167606,0,0.45046729,0,0,0.003738318,39.94061113,39.94061113,40.00381394,40.06801364,40.13158071,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,29.20388521,29.2041207,29.20528557,29.20449799,29.20222741,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,39.59407329,39.56237368,39.52752206,39.48545379,39.43069089,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674,81.39860006,81.42130288,81.44309013,81.46493329,81.47503944
6,X2010.5,6,0,2010,25.82431959,10.14139327,0,5.491072121,70.43840796,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,18.50666473,18.51265285,18.51539496,18.5167606,0,0,0.45046729,0,0,0.003738318,39.94061113,40.00381394,40.06801364,40.13158071,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,29.2041207,29.20528557,29.20449799,29.20222741,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,39.56237368,39.52752206,39.48545379,39.43069089,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674,81.42130288,81.44309013,81.46493329,81.47503944
7,X2010.6,7,0,2010,26.05659141,12.42218435,0.58317757,4.335885617,65.0606896,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,18.51265285,18.51539496,18.5167606,0.58317757,0,0,0.45046729,0,0,0.003738318,40.00381394,40.06801364,40.13158071,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,29.20528557,29.20449799,29.20222741,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,39.52752206,39.48545379,39.43069089,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674,81.44309013,81.46493329,81.47503944
8,X2010.7,8,0,2010,26.74238051,12.38289267,2.823364486,3.78573719,65.94569341,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,18.51539496,18.5167606,2.823364486,0.58317757,0,0,0.45046729,0,0,0.003738318,40.06801364,40.13158071,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,29.20449799,29.20222741,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,39.48545379,39.43069089,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674,81.46493329,81.47503944
9,X2010.8,9,0,2010,27.10503135,15.07139987,23.5728972,12.0409187,76.00331455,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,18.5167606,23.5728972,2.823364486,0.58317757,0,0,0.45046729,0,0,0.003738318,40.13158071,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,29.20222741,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,39.43069089,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674,81.47503944
10,X2010.9,10,0,2010,29.32502838,15.98644648,11.54766355,11.88354667,63.53169615,15.98644648,15.07139987,12.38289267,12.42218435,10.14139327,9.757647394,10.05274401,10.46320047,9.013572683,9.209273019,11.54766355,23.5728972,2.823364486,0.58317757,0,0,0.45046729,0,0,0.003738318,29.32502838,27.10503135,26.74238051,26.05659141,25.82431959,24.87645039,26.26896176,23.62185176,22.41999963,23.32963226,11.88354667,12.0409187,3.78573719,4.335885617,5.491072121,6.74101913,10.53110322,11.54855679,12.84168911,17.80171999,63.53169615,76.00331455,65.94569341,65.0606896,70.43840796,71.34877582,74.87574217,85.18562221,84.24499149,86.78760674
