id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,19.4329215,8.551729323,0,27.24191922,77.92655545,8.551729323,19.78508455,19.79864684,19.81051487,19.82266357,19.83286993,19.8431013,19.8507806,19.85374318,19.8563019,0,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,19.4329215,31.09959804,31.1100862,31.11864769,31.12678436,31.13233657,31.13771038,31.14202408,31.14396802,31.14445459,27.24191922,35.50217924,35.464247,35.4264107,35.39505556,35.36261363,35.3353729,35.30461079,35.26846584,35.23239956,77.92655545,67.78239203,67.76025574,67.79405233,67.82456883,67.86338374,67.89468927,67.92854685,67.96143942,67.99153871
2,X2010.1,2,0,2010,19.37625981,8.302981569,0.428571429,25.47976274,73.39633993,8.302981569,8.551729323,19.79864684,19.81051487,19.82266357,19.83286993,19.8431013,19.8507806,19.85374318,19.8563019,0.428571429,0,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,19.37625981,19.4329215,31.1100862,31.11864769,31.12678436,31.13233657,31.13771038,31.14202408,31.14396802,31.14445459,25.47976274,27.24191922,35.464247,35.4264107,35.39505556,35.36261363,35.3353729,35.30461079,35.26846584,35.23239956,73.39633993,77.92655545,67.76025574,67.79405233,67.82456883,67.86338374,67.89468927,67.92854685,67.96143942,67.99153871
3,X2010.2,3,0,2010,17.92748338,8.675045335,0.030952381,24.78500484,73.68718682,8.675045335,8.302981569,8.551729323,19.81051487,19.82266357,19.83286993,19.8431013,19.8507806,19.85374318,19.8563019,0.030952381,0.428571429,0,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,17.92748338,19.37625981,19.4329215,31.11864769,31.12678436,31.13233657,31.13771038,31.14202408,31.14396802,31.14445459,24.78500484,25.47976274,27.24191922,35.4264107,35.39505556,35.36261363,35.3353729,35.30461079,35.26846584,35.23239956,73.68718682,73.39633993,77.92655545,67.79405233,67.82456883,67.86338374,67.89468927,67.92854685,67.96143942,67.99153871
4,X2010.3,4,90,2010,22.33301374,7.687861223,0,24.2760669,65.96503077,7.687861223,8.675045335,8.302981569,8.551729323,19.82266357,19.83286993,19.8431013,19.8507806,19.85374318,19.8563019,0,0.030952381,0.428571429,0,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,22.33301374,17.92748338,19.37625981,19.4329215,31.12678436,31.13233657,31.13771038,31.14202408,31.14396802,31.14445459,24.2760669,24.78500484,25.47976274,27.24191922,35.39505556,35.36261363,35.3353729,35.30461079,35.26846584,35.23239956,65.96503077,73.68718682,73.39633993,77.92655545,67.82456883,67.86338374,67.89468927,67.92854685,67.96143942,67.99153871
5,X2010.4,5,0,2010,25.79311805,9.653643639,0,20.53912038,49.77614932,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,19.83286993,19.8431013,19.8507806,19.85374318,19.8563019,0,0,0.030952381,0.428571429,0,25.78154324,25.78154324,25.78154324,25.78154324,25.78154324,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,31.13233657,31.13771038,31.14202408,31.14396802,31.14445459,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,35.36261363,35.3353729,35.30461079,35.26846584,35.23239956,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545,67.86338374,67.89468927,67.92854685,67.96143942,67.99153871
6,X2010.5,6,38,2010,26.35212268,11.52280109,1.697619048,19.73444362,57.44511188,11.52280109,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,19.8431013,19.8507806,19.85374318,19.8563019,1.697619048,0,0,0.030952381,0.428571429,0,25.78154324,25.78154324,25.78154324,25.78154324,26.35212268,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,31.13771038,31.14202408,31.14396802,31.14445459,19.73444362,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,35.3353729,35.30461079,35.26846584,35.23239956,57.44511188,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545,67.89468927,67.92854685,67.96143942,67.99153871
7,X2010.6,7,10,2010,26.3787509,13.22366173,0.519047619,15.166229,52.63624631,13.22366173,11.52280109,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,19.8507806,19.85374318,19.8563019,0.519047619,1.697619048,0,0,0.030952381,0.428571429,0,25.78154324,25.78154324,25.78154324,26.3787509,26.35212268,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,31.14202408,31.14396802,31.14445459,15.166229,19.73444362,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,35.30461079,35.26846584,35.23239956,52.63624631,57.44511188,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545,67.92854685,67.96143942,67.99153871
8,X2010.7,8,0,2010,28.14771237,12.49831908,0.247619048,9.086107889,48.974846,12.49831908,13.22366173,11.52280109,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,19.85374318,19.8563019,0.247619048,0.519047619,1.697619048,0,0,0.030952381,0.428571429,0,25.78154324,25.78154324,28.14771237,26.3787509,26.35212268,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,31.14396802,31.14445459,9.086107889,15.166229,19.73444362,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,35.26846584,35.23239956,48.974846,52.63624631,57.44511188,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545,67.96143942,67.99153871
9,X2010.8,9,0,2010,31.35458562,16.07060169,0.011904762,5.11029543,41.19875197,16.07060169,12.49831908,13.22366173,11.52280109,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,19.8563019,0.011904762,0.247619048,0.519047619,1.697619048,0,0,0.030952381,0.428571429,0,25.78154324,31.35458562,28.14771237,26.3787509,26.35212268,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,31.14445459,5.11029543,9.086107889,15.166229,19.73444362,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,35.23239956,41.19875197,48.974846,52.63624631,57.44511188,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545,67.99153871
10,X2010.9,10,10,2010,31.9596896,16.29795235,0,8.418149934,29.88220643,16.29795235,16.07060169,12.49831908,13.22366173,11.52280109,9.653643639,7.687861223,8.675045335,8.302981569,8.551729323,0,0.011904762,0.247619048,0.519047619,1.697619048,0,0,0.030952381,0.428571429,0,31.9596896,31.35458562,28.14771237,26.3787509,26.35212268,25.79311805,22.33301374,17.92748338,19.37625981,19.4329215,8.418149934,5.11029543,9.086107889,15.166229,19.73444362,20.53912038,24.2760669,24.78500484,25.47976274,27.24191922,29.88220643,41.19875197,48.974846,52.63624631,57.44511188,49.77614932,65.96503077,73.68718682,73.39633993,77.92655545
