id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,21.90634529,8.237439862,0,10.99024883,71.30206925,8.237439862,19.90825475,19.92240194,19.93329306,19.94615119,19.95704814,19.96802639,19.97690956,19.98114769,19.98534157,0,25.82019813,25.82019813,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,21.90634529,31.6361727,31.6450438,31.65201818,31.66023628,31.66601591,31.67176998,31.67633075,31.67884285,31.68048159,10.99024883,30.56911359,30.54852886,30.52053943,30.49318602,30.4605636,30.42853005,30.39014882,30.34306913,30.29345508,71.30206925,65.8039074,65.76716616,65.80303565,65.84072064,65.88502429,65.90861084,65.93794931,65.96310448,65.98441788
2,X2010.1,2,0,2010,22.87720683,9.98455145,0.18362069,11.70452853,69.01232487,9.98455145,8.237439862,19.92240194,19.93329306,19.94615119,19.95704814,19.96802639,19.97690956,19.98114769,19.98534157,0.18362069,0,25.82019813,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,22.87720683,21.90634529,31.6450438,31.65201818,31.66023628,31.66601591,31.67176998,31.67633075,31.67884285,31.68048159,11.70452853,10.99024883,30.54852886,30.52053943,30.49318602,30.4605636,30.42853005,30.39014882,30.34306913,30.29345508,69.01232487,71.30206925,65.76716616,65.80303565,65.84072064,65.88502429,65.90861084,65.93794931,65.96310448,65.98441788
3,X2010.2,3,0,2010,21.7848679,9.22502802,0,11.12754421,70.31684258,9.22502802,9.98455145,8.237439862,19.93329306,19.94615119,19.95704814,19.96802639,19.97690956,19.98114769,19.98534157,0,0.18362069,0,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,21.7848679,22.87720683,21.90634529,31.65201818,31.66023628,31.66601591,31.67176998,31.67633075,31.67884285,31.68048159,11.12754421,11.70452853,10.99024883,30.52053943,30.49318602,30.4605636,30.42853005,30.39014882,30.34306913,30.29345508,70.31684258,69.01232487,71.30206925,65.80303565,65.84072064,65.88502429,65.90861084,65.93794931,65.96310448,65.98441788
4,X2010.3,4,0,2010,25.45928834,8.635678787,0,10.21356396,58.16007403,8.635678787,9.22502802,9.98455145,8.237439862,19.94615119,19.95704814,19.96802639,19.97690956,19.98114769,19.98534157,0,0,0.18362069,0,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,25.45928834,21.7848679,22.87720683,21.90634529,31.66023628,31.66601591,31.67176998,31.67633075,31.67884285,31.68048159,10.21356396,11.12754421,11.70452853,10.99024883,30.49318602,30.4605636,30.42853005,30.39014882,30.34306913,30.29345508,58.16007403,70.31684258,69.01232487,71.30206925,65.84072064,65.88502429,65.90861084,65.93794931,65.96310448,65.98441788
5,X2010.4,5,0,2010,27.29071423,10.48263509,0,8.748687381,52.72730154,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,19.95704814,19.96802639,19.97690956,19.98114769,19.98534157,0,0,0,0.18362069,0,25.85884225,25.85884225,25.85884225,25.85884225,25.85884225,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,31.66601591,31.67176998,31.67633075,31.67884285,31.68048159,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,30.4605636,30.42853005,30.39014882,30.34306913,30.29345508,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925,65.88502429,65.90861084,65.93794931,65.96310448,65.98441788
6,X2010.5,6,0,2010,28.39387265,12.66172757,0.137931034,9.223746809,53.99907827,12.66172757,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,19.96802639,19.97690956,19.98114769,19.98534157,0.137931034,0,0,0,0.18362069,0,25.85884225,25.85884225,25.85884225,25.85884225,28.39387265,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,31.67176998,31.67633075,31.67884285,31.68048159,9.223746809,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,30.42853005,30.39014882,30.34306913,30.29345508,53.99907827,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925,65.90861084,65.93794931,65.96310448,65.98441788
7,X2010.6,7,0,2010,28.72756227,15.37236575,5.281034483,9.447326507,60.59142319,15.37236575,12.66172757,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,19.97690956,19.98114769,19.98534157,5.281034483,0.137931034,0,0,0,0.18362069,0,25.85884225,25.85884225,25.85884225,28.72756227,28.39387265,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,31.67633075,31.67884285,31.68048159,9.447326507,9.223746809,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,30.39014882,30.34306913,30.29345508,60.59142319,53.99907827,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925,65.93794931,65.96310448,65.98441788
8,X2010.7,8,0,2010,30.10964648,14.13485326,0.427586207,6.212843587,49.45047167,14.13485326,15.37236575,12.66172757,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,19.98114769,19.98534157,0.427586207,5.281034483,0.137931034,0,0,0,0.18362069,0,25.85884225,25.85884225,30.10964648,28.72756227,28.39387265,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,31.67884285,31.68048159,6.212843587,9.447326507,9.223746809,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,30.34306913,30.29345508,49.45047167,60.59142319,53.99907827,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925,65.96310448,65.98441788
9,X2010.8,9,0,2010,33.81101079,17.02537077,0,4.168035003,38.38381075,17.02537077,14.13485326,15.37236575,12.66172757,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,19.98534157,0,0.427586207,5.281034483,0.137931034,0,0,0,0.18362069,0,25.85884225,33.81101079,30.10964648,28.72756227,28.39387265,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,31.68048159,4.168035003,6.212843587,9.447326507,9.223746809,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,30.29345508,38.38381075,49.45047167,60.59142319,53.99907827,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925,65.98441788
10,X2010.9,10,0,2010,33.85663845,18.54393464,0,4.504571915,36.0597532,18.54393464,17.02537077,14.13485326,15.37236575,12.66172757,10.48263509,8.635678787,9.22502802,9.98455145,8.237439862,0,0,0.427586207,5.281034483,0.137931034,0,0,0,0.18362069,0,33.85663845,33.81101079,30.10964648,28.72756227,28.39387265,27.29071423,25.45928834,21.7848679,22.87720683,21.90634529,4.504571915,4.168035003,6.212843587,9.447326507,9.223746809,8.748687381,10.21356396,11.12754421,11.70452853,10.99024883,36.0597532,38.38381075,49.45047167,60.59142319,53.99907827,52.72730154,58.16007403,70.31684258,69.01232487,71.30206925
