id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,29.78331728,16.32594851,5.057480315,17.14478279,59.55102249,16.32594851,20.12113151,20.12637303,20.12855905,20.13189224,20.13451691,20.13876554,20.14210708,20.14440074,20.14628488,5.057480315,24.29878275,24.29878275,24.32949299,24.36654966,24.40137396,24.4352976,24.46899607,24.5056415,24.53996092,29.78331728,31.18432736,31.18527925,31.18939403,31.19119669,31.19278602,31.1954064,31.19733332,31.19838619,31.20008514,17.14478279,31.53921258,31.52371315,31.48144285,31.46139398,31.42993841,31.40163417,31.36837689,31.33390343,31.2940379,59.55102249,65.12066235,65.1082736,65.12169332,65.13743256,65.1323374,65.14529332,65.1407234,65.16146419,65.16269585
2,X2010.1,2,0,2010,29.77656335,18.71208442,26.1511811,14.84819083,70.94544248,18.71208442,16.32594851,20.12637303,20.12855905,20.13189224,20.13451691,20.13876554,20.14210708,20.14440074,20.14628488,26.1511811,5.057480315,24.29878275,24.32949299,24.36654966,24.40137396,24.4352976,24.46899607,24.5056415,24.53996092,29.77656335,29.78331728,31.18527925,31.18939403,31.19119669,31.19278602,31.1954064,31.19733332,31.19838619,31.20008514,14.84819083,17.14478279,31.52371315,31.48144285,31.46139398,31.42993841,31.40163417,31.36837689,31.33390343,31.2940379,70.94544248,59.55102249,65.1082736,65.12169332,65.13743256,65.1323374,65.14529332,65.1407234,65.16146419,65.16269585
3,X2010.2,3,0,2010,29.864725,17.15450083,4.891338583,13.74464715,60.35904664,17.15450083,18.71208442,16.32594851,20.12855905,20.13189224,20.13451691,20.13876554,20.14210708,20.14440074,20.14628488,4.891338583,26.1511811,5.057480315,24.32949299,24.36654966,24.40137396,24.4352976,24.46899607,24.5056415,24.53996092,29.864725,29.77656335,29.78331728,31.18939403,31.19119669,31.19278602,31.1954064,31.19733332,31.19838619,31.20008514,13.74464715,14.84819083,17.14478279,31.48144285,31.46139398,31.42993841,31.40163417,31.36837689,31.33390343,31.2940379,60.35904664,70.94544248,59.55102249,65.12169332,65.13743256,65.1323374,65.14529332,65.1407234,65.16146419,65.16269585
4,X2010.3,4,0,2010,29.72646326,14.92434037,0,11.15783549,52.98976012,14.92434037,17.15450083,18.71208442,16.32594851,20.13189224,20.13451691,20.13876554,20.14210708,20.14440074,20.14628488,0,4.891338583,26.1511811,5.057480315,24.36654966,24.40137396,24.4352976,24.46899607,24.5056415,24.53996092,29.72646326,29.864725,29.77656335,29.78331728,31.19119669,31.19278602,31.1954064,31.19733332,31.19838619,31.20008514,11.15783549,13.74464715,14.84819083,17.14478279,31.46139398,31.42993841,31.40163417,31.36837689,31.33390343,31.2940379,52.98976012,60.35904664,70.94544248,59.55102249,65.13743256,65.1323374,65.14529332,65.1407234,65.16146419,65.16269585
5,X2010.4,5,0,2010,30.74931254,16.44110113,0,8.659471798,49.9026502,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,20.13451691,20.13876554,20.14210708,20.14440074,20.14628488,0,0,4.891338583,26.1511811,5.057480315,24.40137396,24.4352976,24.46899607,24.5056415,24.53996092,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,31.19278602,31.1954064,31.19733332,31.19838619,31.20008514,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,31.42993841,31.40163417,31.36837689,31.33390343,31.2940379,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249,65.1323374,65.14529332,65.1407234,65.16146419,65.16269585
6,X2010.5,6,0,2010,31.48338958,16.39402974,0,7.971845914,48.83746734,16.39402974,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,20.13876554,20.14210708,20.14440074,20.14628488,0,0,0,4.891338583,26.1511811,5.057480315,24.4352976,24.46899607,24.5056415,24.53996092,31.48338958,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,31.1954064,31.19733332,31.19838619,31.20008514,7.971845914,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,31.40163417,31.36837689,31.33390343,31.2940379,48.83746734,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249,65.14529332,65.1407234,65.16146419,65.16269585
7,X2010.6,7,0,2010,33.58521771,18.79310066,0.304330709,8.095337022,53.38998066,18.79310066,16.39402974,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,20.14210708,20.14440074,20.14628488,0.304330709,0,0,0,4.891338583,26.1511811,5.057480315,24.46899607,24.5056415,24.53996092,33.58521771,31.48338958,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,31.19733332,31.19838619,31.20008514,8.095337022,7.971845914,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,31.36837689,31.33390343,31.2940379,53.38998066,48.83746734,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249,65.1407234,65.16146419,65.16269585
8,X2010.7,8,0,2010,34.13805708,19.63663056,0.365748031,8.675993164,49.08858182,19.63663056,18.79310066,16.39402974,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,20.14440074,20.14628488,0.365748031,0.304330709,0,0,0,4.891338583,26.1511811,5.057480315,24.5056415,24.53996092,34.13805708,33.58521771,31.48338958,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,31.19838619,31.20008514,8.675993164,8.095337022,7.971845914,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,31.33390343,31.2940379,49.08858182,53.38998066,48.83746734,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249,65.16146419,65.16269585
9,X2010.8,9,0,2010,34.42173729,19.18728302,0.007874016,7.751264327,44.99183758,19.18728302,19.63663056,18.79310066,16.39402974,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,20.14628488,0.007874016,0.365748031,0.304330709,0,0,0,4.891338583,26.1511811,5.057480315,24.53996092,34.42173729,34.13805708,33.58521771,31.48338958,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,31.20008514,7.751264327,8.675993164,8.095337022,7.971845914,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,31.2940379,44.99183758,49.08858182,53.38998066,48.83746734,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249,65.16269585
10,X2010.9,10,10,2010,35.30360297,20.89442392,0,5.254781697,43.18301405,20.89442392,19.18728302,19.63663056,18.79310066,16.39402974,16.44110113,14.92434037,17.15450083,18.71208442,16.32594851,0,0.007874016,0.365748031,0.304330709,0,0,0,4.891338583,26.1511811,5.057480315,35.30360297,34.42173729,34.13805708,33.58521771,31.48338958,30.74931254,29.72646326,29.864725,29.77656335,29.78331728,5.254781697,7.751264327,8.675993164,8.095337022,7.971845914,8.659471798,11.15783549,13.74464715,14.84819083,17.14478279,43.18301405,44.99183758,49.08858182,53.38998066,48.83746734,49.9026502,52.98976012,60.35904664,70.94544248,59.55102249
