,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,29.20845902,18.81342247,3.15,14.22086351,74.41417305,18.81342247,21.17792374,21.18015601,21.18182606,21.18274869,21.18328493,21.18570893,21.18663238,21.18688014,21.18667154,3.15,51.60784981,51.68708083,51.74860146,51.82087885,51.88030708,51.95805514,52.0240342,52.09241583,52.16004823,29.20845902,30.3264646,30.32649794,30.3288794,30.33087419,30.33165339,30.33196485,30.33407118,30.33541728,30.33705173,14.22086351,36.39026221,36.37291759,36.33130559,36.30337242,36.27166199,36.24769705,36.20758886,36.16479796,36.13000784,74.41417305,80.7429691,80.74119745,80.75907272,80.7816811,80.78339085,80.79250216,80.79430472,80.80400864,80.80550925
2,X2010.1,2,0,2010,29.07829269,20.45553267,16.52307692,12.02119569,80.77923625,20.45553267,18.81342247,21.18015601,21.18182606,21.18274869,21.18328493,21.18570893,21.18663238,21.18688014,21.18667154,16.52307692,3.15,51.68708083,51.74860146,51.82087885,51.88030708,51.95805514,52.0240342,52.09241583,52.16004823,29.07829269,29.20845902,30.32649794,30.3288794,30.33087419,30.33165339,30.33196485,30.33407118,30.33541728,30.33705173,12.02119569,14.22086351,36.37291759,36.33130559,36.30337242,36.27166199,36.24769705,36.20758886,36.16479796,36.13000784,80.77923625,74.41417305,80.74119745,80.75907272,80.7816811,80.78339085,80.79250216,80.79430472,80.80400864,80.80550925
3,X2010.2,3,0,2010,29.35251158,19.15315606,0.715384615,7.749341648,71.33373635,19.15315606,20.45553267,18.81342247,21.18182606,21.18274869,21.18328493,21.18570893,21.18663238,21.18688014,21.18667154,0.715384615,16.52307692,3.15,51.74860146,51.82087885,51.88030708,51.95805514,52.0240342,52.09241583,52.16004823,29.35251158,29.07829269,29.20845902,30.3288794,30.33087419,30.33165339,30.33196485,30.33407118,30.33541728,30.33705173,7.749341648,12.02119569,14.22086351,36.33130559,36.30337242,36.27166199,36.24769705,36.20758886,36.16479796,36.13000784,71.33373635,80.77923625,74.41417305,80.75907272,80.7816811,80.78339085,80.79250216,80.79430472,80.80400864,80.80550925
4,X2010.3,4,0,2010,29.48826325,18.27484337,0,6.466919548,67.96070763,18.27484337,19.15315606,20.45553267,18.81342247,21.18274869,21.18328493,21.18570893,21.18663238,21.18688014,21.18667154,0,0.715384615,16.52307692,3.15,51.82087885,51.88030708,51.95805514,52.0240342,52.09241583,52.16004823,29.48826325,29.35251158,29.07829269,29.20845902,30.33087419,30.33165339,30.33196485,30.33407118,30.33541728,30.33705173,6.466919548,7.749341648,12.02119569,14.22086351,36.30337242,36.27166199,36.24769705,36.20758886,36.16479796,36.13000784,67.96070763,71.33373635,80.77923625,74.41417305,80.7816811,80.78339085,80.79250216,80.79430472,80.80400864,80.80550925
5,X2010.4,5,0,2010,29.99913568,18.88521191,0,3.263710587,65.336966,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,21.18328493,21.18570893,21.18663238,21.18688014,21.18667154,0,0,0.715384615,16.52307692,3.15,51.88030708,51.95805514,52.0240342,52.09241583,52.16004823,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,30.33165339,30.33196485,30.33407118,30.33541728,30.33705173,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,36.27166199,36.24769705,36.20758886,36.16479796,36.13000784,65.336966,67.96070763,71.33373635,80.77923625,74.41417305,80.78339085,80.79250216,80.79430472,80.80400864,80.80550925
6,X2010.5,6,0,2010,30.16956473,18.58863812,0.003846154,3.353677934,63.92713324,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,21.18570893,21.18663238,21.18688014,21.18667154,0.003846154,0,0,0.715384615,16.52307692,3.15,51.95805514,52.0240342,52.09241583,52.16004823,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,30.33196485,30.33407118,30.33541728,30.33705173,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,36.24769705,36.20758886,36.16479796,36.13000784,63.92713324,65.336966,67.96070763,71.33373635,80.77923625,74.41417305,80.79250216,80.79430472,80.80400864,80.80550925
7,X2010.6,7,0,2010,31.45660118,20.57513398,0.126923077,3.963380888,71.10802922,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,21.18663238,21.18688014,21.18667154,0.126923077,0.003846154,0,0,0.715384615,16.52307692,3.15,52.0240342,52.09241583,52.16004823,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,30.33407118,30.33541728,30.33705173,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,36.20758886,36.16479796,36.13000784,71.10802922,63.92713324,65.336966,67.96070763,71.33373635,80.77923625,74.41417305,80.79430472,80.80400864,80.80550925
8,X2010.7,8,0,2010,31.90305737,21.07190857,0.311538462,4.532583896,70.1324924,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,21.18688014,21.18667154,0.311538462,0.126923077,0.003846154,0,0,0.715384615,16.52307692,3.15,52.09241583,52.16004823,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,30.33541728,30.33705173,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,36.16479796,36.13000784,70.1324924,71.10802922,63.92713324,65.336966,67.96070763,71.33373635,80.77923625,74.41417305,80.80400864,80.80550925
9,X2010.8,9,0,2010,32.10483623,20.58722395,0.246153846,4.25455831,68.8253914,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,21.18667154,0.246153846,0.311538462,0.126923077,0.003846154,0,0,0.715384615,16.52307692,3.15,52.16004823,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,30.33705173,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,36.13000784,68.8253914,70.1324924,71.10802922,63.92713324,65.336966,67.96070763,71.33373635,80.77923625,74.41417305,80.80550925
10,X2010.9,10,0,2010,32.74096296,22.13772555,1.592307692,3.876905499,67.85576963,22.13772555,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,18.81342247,1.592307692,0.246153846,0.311538462,0.126923077,0.003846154,0,0,0.715384615,16.52307692,3.15,32.74096296,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,29.20845902,3.876905499,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,14.22086351,67.85576963,68.8253914,70.1324924,71.10802922,63.92713324,65.336966,67.96070763,71.33373635,80.77923625,74.41417305
11,X2010.10,11,0,2010,32.83670821,21.58847606,4.559615385,5.752921974,66.23417622,21.58847606,22.13772555,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,20.45553267,4.559615385,1.592307692,0.246153846,0.311538462,0.126923077,0.003846154,0,0,0.715384615,16.52307692,32.83670821,32.74096296,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,29.07829269,5.752921974,3.876905499,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,12.02119569,66.23417622,67.85576963,68.8253914,70.1324924,71.10802922,63.92713324,65.336966,67.96070763,71.33373635,80.77923625
12,X2010.11,12,9,2010,33.10219526,21.53122826,0.438461538,3.12436205,67.24107295,21.53122826,21.58847606,22.13772555,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,19.15315606,0.438461538,4.559615385,1.592307692,0.246153846,0.311538462,0.126923077,0.003846154,0,0,0.715384615,33.10219526,32.83670821,32.74096296,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,29.35251158,3.12436205,5.752921974,3.876905499,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,7.749341648,67.24107295,66.23417622,67.85576963,68.8253914,70.1324924,71.10802922,63.92713324,65.336966,67.96070763,71.33373635
13,X2010.12,13,0,2010,32.55132718,22.43855409,29.01923077,8.743555051,71.86634222,22.43855409,21.53122826,21.58847606,22.13772555,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,18.27484337,29.01923077,0.438461538,4.559615385,1.592307692,0.246153846,0.311538462,0.126923077,0.003846154,0,0,32.55132718,33.10219526,32.83670821,32.74096296,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,29.48826325,8.743555051,3.12436205,5.752921974,3.876905499,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,6.466919548,71.86634222,67.24107295,66.23417622,67.85576963,68.8253914,70.1324924,71.10802922,63.92713324,65.336966,67.96070763
14,X2010.13,14,0,2010,33.09554571,22.8859924,25.27115385,10.2290117,74.99984906,22.8859924,22.43855409,21.53122826,21.58847606,22.13772555,20.58722395,21.07190857,20.57513398,18.58863812,18.88521191,25.27115385,29.01923077,0.438461538,4.559615385,1.592307692,0.246153846,0.311538462,0.126923077,0.003846154,0,33.09554571,32.55132718,33.10219526,32.83670821,32.74096296,32.10483623,31.90305737,31.45660118,30.16956473,29.99913568,10.2290117,8.743555051,3.12436205,5.752921974,3.876905499,4.25455831,4.532583896,3.963380888,3.353677934,3.263710587,74.99984906,71.86634222,67.24107295,66.23417622,67.85576963,68.8253914,70.1324924,71.10802922,63.92713324,65.336966
