,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,23.46941602,8.168483524,0.079723502,14.60822293,59.4848594,8.168483524,18.99386349,19.00625145,19.01559634,19.02841248,19.04184982,19.05523133,19.06501938,19.06993424,19.07620574,0.079723502,23.91392175,23.95460077,23.99241554,23.99241554,23.99241554,23.99241554,23.99241554,24.03556676,24.03556676,23.46941602,32.54959316,32.55737057,32.56458,32.5730873,32.5799615,32.58699032,32.59179282,32.59302629,32.59435213,14.60822293,24.9821422,24.9583134,24.92874751,24.8988659,24.8662036,24.83190809,24.79767348,24.75984478,24.72214004,59.4848594,56.36183834,56.32043075,56.34567849,56.38001363,56.40579177,56.43235743,56.46747273,56.49530924,56.51697761
2,X2010.1,2,0,2010,22.92983899,9.156970808,1.896774194,12.72951998,64.87452042,9.156970808,8.168483524,19.00625145,19.01559634,19.02841248,19.04184982,19.05523133,19.06501938,19.06993424,19.07620574,1.896774194,0.079723502,23.95460077,23.99241554,23.99241554,23.99241554,23.99241554,23.99241554,24.03556676,24.03556676,22.92983899,23.46941602,32.55737057,32.56458,32.5730873,32.5799615,32.58699032,32.59179282,32.59302629,32.59435213,12.72951998,14.60822293,24.9583134,24.92874751,24.8988659,24.8662036,24.83190809,24.79767348,24.75984478,24.72214004,64.87452042,59.4848594,56.32043075,56.34567849,56.38001363,56.40579177,56.43235743,56.46747273,56.49530924,56.51697761
3,X2010.2,3,0,2010,23.69112505,7.302091976,0,10.96175891,59.25430208,7.302091976,9.156970808,8.168483524,19.01559634,19.02841248,19.04184982,19.05523133,19.06501938,19.06993424,19.07620574,0,1.896774194,0.079723502,23.99241554,23.99241554,23.99241554,23.99241554,23.99241554,24.03556676,24.03556676,23.69112505,22.92983899,23.46941602,32.56458,32.5730873,32.5799615,32.58699032,32.59179282,32.59302629,32.59435213,10.96175891,12.72951998,14.60822293,24.92874751,24.8988659,24.8662036,24.83190809,24.79767348,24.75984478,24.72214004,59.25430208,64.87452042,59.4848594,56.34567849,56.38001363,56.40579177,56.43235743,56.46747273,56.49530924,56.51697761
4,X2010.3,4,0,2010,27.01997774,9.041930311,0,9.303053809,46.06537266,9.041930311,7.302091976,9.156970808,8.168483524,19.02841248,19.04184982,19.05523133,19.06501938,19.06993424,19.07620574,0,0,1.896774194,0.079723502,23.99241554,23.99241554,23.99241554,23.99241554,24.03556676,24.03556676,27.01997774,23.69112505,22.92983899,23.46941602,32.5730873,32.5799615,32.58699032,32.59179282,32.59302629,32.59435213,9.303053809,10.96175891,12.72951998,14.60822293,24.8988659,24.8662036,24.83190809,24.79767348,24.75984478,24.72214004,46.06537266,59.25430208,64.87452042,59.4848594,56.38001363,56.40579177,56.43235743,56.46747273,56.49530924,56.51697761
5,X2010.4,5,0,2010,27.55207516,11.33957332,0.944700461,8.5347739,46.85400356,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,19.04184982,19.05523133,19.06501938,19.06993424,19.07620574,0.944700461,0,0,1.896774194,0.079723502,23.99241554,23.99241554,23.99241554,24.03556676,24.03556676,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,32.5799615,32.58699032,32.59179282,32.59302629,32.59435213,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,24.8662036,24.83190809,24.79767348,24.75984478,24.72214004,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594,56.40579177,56.43235743,56.46747273,56.49530924,56.51697761
6,X2010.5,6,0,2010,28.56770567,13.16605,1.816589862,9.294415254,46.65207799,13.16605,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,19.05523133,19.06501938,19.06993424,19.07620574,1.816589862,0.944700461,0,0,1.896774194,0.079723502,23.99241554,23.99241554,24.03556676,24.03556676,28.56770567,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,32.58699032,32.59179282,32.59302629,32.59435213,9.294415254,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,24.83190809,24.79767348,24.75984478,24.72214004,46.65207799,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594,56.43235743,56.46747273,56.49530924,56.51697761
7,X2010.6,7,0,2010,28.08018016,13.75251168,6.623041475,10.97365004,51.35782457,13.75251168,13.16605,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,19.06501938,19.06993424,19.07620574,6.623041475,1.816589862,0.944700461,0,0,1.896774194,0.079723502,23.99241554,24.03556676,24.03556676,28.08018016,28.56770567,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,32.59179282,32.59302629,32.59435213,10.97365004,9.294415254,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,24.79767348,24.75984478,24.72214004,51.35782457,46.65207799,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594,56.46747273,56.49530924,56.51697761
8,X2010.7,8,0,2010,30.72599815,12.93948905,0.456682028,7.645170626,40.24583364,12.93948905,13.75251168,13.16605,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,19.06993424,19.07620574,0.456682028,6.623041475,1.816589862,0.944700461,0,0,1.896774194,0.079723502,24.03556676,24.03556676,30.72599815,28.08018016,28.56770567,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,32.59302629,32.59435213,7.645170626,10.97365004,9.294415254,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,24.75984478,24.72214004,40.24583364,51.35782457,46.65207799,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594,56.49530924,56.51697761
9,X2010.8,9,0,2010,34.15233515,15.6937982,0,7.896249306,31.93282051,15.6937982,12.93948905,13.75251168,13.16605,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,19.07620574,0,0.456682028,6.623041475,1.816589862,0.944700461,0,0,1.896774194,0.079723502,24.03556676,34.15233515,30.72599815,28.08018016,28.56770567,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,32.59435213,7.896249306,7.645170626,10.97365004,9.294415254,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,24.72214004,31.93282051,40.24583364,51.35782457,46.65207799,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594,56.51697761
10,X2010.9,10,0,2010,33.28856221,16.97038035,0.241935484,5.359813876,34.35724915,16.97038035,15.6937982,12.93948905,13.75251168,13.16605,11.33957332,9.041930311,7.302091976,9.156970808,8.168483524,0.241935484,0,0.456682028,6.623041475,1.816589862,0.944700461,0,0,1.896774194,0.079723502,33.28856221,34.15233515,30.72599815,28.08018016,28.56770567,27.55207516,27.01997774,23.69112505,22.92983899,23.46941602,5.359813876,7.896249306,7.645170626,10.97365004,9.294415254,8.5347739,9.303053809,10.96175891,12.72951998,14.60822293,34.35724915,31.93282051,40.24583364,51.35782457,46.65207799,46.85400356,46.06537266,59.25430208,64.87452042,59.4848594
