id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,22.17365922,8.615991155,1.257971014,20.29457529,59.1572801,8.615991155,19.05917289,19.07406885,19.08688188,19.10109491,19.11508036,19.12742879,19.13585253,19.13944248,19.14367998,1.257971014,12.49259438,12.49259438,12.49259438,12.49259438,12.49259438,12.49259438,12.51543171,12.53501102,12.53501102,22.17365922,32.70345764,32.7137717,32.72177974,32.73044858,32.73692753,32.74276961,32.74738139,32.74833252,32.74664619,20.29457529,28.25712298,28.22818944,28.19756858,28.16715706,28.13760764,28.11071651,28.08497503,28.06046614,28.03781483,59.1572801,49.6321873,49.58831487,49.62264825,49.66198888,49.69502444,49.73190381,49.77666685,49.80872882,49.83558741
2,X2010.1,2,0,2010,19.54620845,6.752983253,1.576190476,16.99649365,66.90694715,6.752983253,8.615991155,19.07406885,19.08688188,19.10109491,19.11508036,19.12742879,19.13585253,19.13944248,19.14367998,1.576190476,1.257971014,12.49259438,12.49259438,12.49259438,12.49259438,12.49259438,12.51543171,12.53501102,12.53501102,19.54620845,22.17365922,32.7137717,32.72177974,32.73044858,32.73692753,32.74276961,32.74738139,32.74833252,32.74664619,16.99649365,20.29457529,28.22818944,28.19756858,28.16715706,28.13760764,28.11071651,28.08497503,28.06046614,28.03781483,66.90694715,59.1572801,49.58831487,49.62264825,49.66198888,49.69502444,49.73190381,49.77666685,49.80872882,49.83558741
3,X2010.2,3,0,2010,23.88530671,7.417399093,0,15.47651038,57.96513166,7.417399093,6.752983253,8.615991155,19.08688188,19.10109491,19.11508036,19.12742879,19.13585253,19.13944248,19.14367998,0,1.576190476,1.257971014,12.49259438,12.49259438,12.49259438,12.49259438,12.51543171,12.53501102,12.53501102,23.88530671,19.54620845,22.17365922,32.72177974,32.73044858,32.73692753,32.74276961,32.74738139,32.74833252,32.74664619,15.47651038,16.99649365,20.29457529,28.19756858,28.16715706,28.13760764,28.11071651,28.08497503,28.06046614,28.03781483,57.96513166,66.90694715,59.1572801,49.62264825,49.66198888,49.69502444,49.73190381,49.77666685,49.80872882,49.83558741
4,X2010.3,4,0,2010,26.45470005,9.999853279,0.033333333,15.3339862,46.55892644,9.999853279,7.417399093,6.752983253,8.615991155,19.10109491,19.11508036,19.12742879,19.13585253,19.13944248,19.14367998,0.033333333,0,1.576190476,1.257971014,12.49259438,12.49259438,12.49259438,12.51543171,12.53501102,12.53501102,26.45470005,23.88530671,19.54620845,22.17365922,32.73044858,32.73692753,32.74276961,32.74738139,32.74833252,32.74664619,15.3339862,15.47651038,16.99649365,20.29457529,28.16715706,28.13760764,28.11071651,28.08497503,28.06046614,28.03781483,46.55892644,57.96513166,66.90694715,59.1572801,49.66198888,49.69502444,49.73190381,49.77666685,49.80872882,49.83558741
5,X2010.4,5,0,2010,26.9480669,10.78918968,0.000207039,13.70529714,41.8777061,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,19.11508036,19.12742879,19.13585253,19.13944248,19.14367998,0.000207039,0.033333333,0,1.576190476,1.257971014,12.49259438,12.49259438,12.51543171,12.53501102,12.53501102,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,32.73692753,32.74276961,32.74738139,32.74833252,32.74664619,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,28.13760764,28.11071651,28.08497503,28.06046614,28.03781483,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801,49.69502444,49.73190381,49.77666685,49.80872882,49.83558741
6,X2010.5,6,0,2010,26.73602078,12.18760597,1.214492754,14.40841688,38.60123426,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,19.12742879,19.13585253,19.13944248,19.14367998,1.214492754,0.000207039,0.033333333,0,1.576190476,1.257971014,12.49259438,12.51543171,12.53501102,12.53501102,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,32.74276961,32.74738139,32.74833252,32.74664619,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,28.11071651,28.08497503,28.06046614,28.03781483,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801,49.73190381,49.77666685,49.80872882,49.83558741
7,X2010.6,7,0,2010,25.87794299,10.42871381,0.39378882,10.49456447,40.1033024,10.42871381,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,19.13585253,19.13944248,19.14367998,0.39378882,1.214492754,0.000207039,0.033333333,0,1.576190476,1.257971014,12.51543171,12.53501102,12.53501102,25.87794299,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,32.74738139,32.74833252,32.74664619,10.49456447,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,28.08497503,28.06046614,28.03781483,40.1033024,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801,49.77666685,49.80872882,49.83558741
8,X2010.7,8,0,2010,29.73703226,12.57041824,1.808074534,9.930789221,39.97729655,12.57041824,10.42871381,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,19.13944248,19.14367998,1.808074534,0.39378882,1.214492754,0.000207039,0.033333333,0,1.576190476,1.257971014,12.53501102,12.53501102,29.73703226,25.87794299,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,32.74833252,32.74664619,9.930789221,10.49456447,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,28.06046614,28.03781483,39.97729655,40.1033024,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801,49.80872882,49.83558741
9,X2010.8,9,0,2010,32.82622307,16.56399263,0.014699793,8.426287567,36.58878623,16.56399263,12.57041824,10.42871381,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,19.14367998,0.014699793,1.808074534,0.39378882,1.214492754,0.000207039,0.033333333,0,1.576190476,1.257971014,12.53501102,32.82622307,29.73703226,25.87794299,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,32.74664619,8.426287567,9.930789221,10.49456447,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,28.03781483,36.58878623,39.97729655,40.1033024,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801,49.83558741
10,X2010.9,10,0,2010,31.42289045,16.08697596,0.478467909,7.431260608,36.09839902,16.08697596,16.56399263,12.57041824,10.42871381,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,8.615991155,0.478467909,0.014699793,1.808074534,0.39378882,1.214492754,0.000207039,0.033333333,0,1.576190476,1.257971014,31.42289045,32.82622307,29.73703226,25.87794299,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,22.17365922,7.431260608,8.426287567,9.930789221,10.49456447,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,20.29457529,36.09839902,36.58878623,39.97729655,40.1033024,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715,59.1572801
11,X2010.10,11,0,2010,36.59610682,18.65335901,0,6.965002034,26.12268215,18.65335901,16.08697596,16.56399263,12.57041824,10.42871381,12.18760597,10.78918968,9.999853279,7.417399093,6.752983253,0,0.478467909,0.014699793,1.808074534,0.39378882,1.214492754,0.000207039,0.033333333,0,1.576190476,36.59610682,31.42289045,32.82622307,29.73703226,25.87794299,26.73602078,26.9480669,26.45470005,23.88530671,19.54620845,6.965002034,7.431260608,8.426287567,9.930789221,10.49456447,14.40841688,13.70529714,15.3339862,15.47651038,16.99649365,26.12268215,36.09839902,36.58878623,39.97729655,40.1033024,38.60123426,41.8777061,46.55892644,57.96513166,66.90694715
