,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,28.84656738,19.08978239,0.145238095,19.41599012,72.12474551,19.08978239,22.44614237,22.44990947,22.4528204,22.45525079,22.45695668,22.46043713,22.46284469,22.46448288,22.46558963,0.145238095,19.93240112,19.96083141,19.97126602,19.99126662,20.01481764,20.03702875,20.03527089,20.05629358,20.07040878,28.84656738,32.18879552,32.19272427,32.19833554,32.20448388,32.20810869,32.21149709,32.21658426,32.22129817,32.22625966,19.41599012,30.05217185,30.0148348,29.94222368,29.88356586,29.83093968,29.78333116,29.7052333,29.6319736,29.57222516,72.12474551,70.10909427,70.08691092,70.07929264,70.07520929,70.06184156,70.05752029,70.04928232,70.05335572,70.03683037
2,X2010.1,2,0,2010,28.93944826,21.10087749,10.91428571,25.77075827,80.46444278,21.10087749,19.08978239,22.44990947,22.4528204,22.45525079,22.45695668,22.46043713,22.46284469,22.46448288,22.46558963,10.91428571,0.145238095,19.96083141,19.97126602,19.99126662,20.01481764,20.03702875,20.03527089,20.05629358,20.07040878,28.93944826,28.84656738,32.19272427,32.19833554,32.20448388,32.20810869,32.21149709,32.21658426,32.22129817,32.22625966,25.77075827,19.41599012,30.0148348,29.94222368,29.88356586,29.83093968,29.78333116,29.7052333,29.6319736,29.57222516,80.46444278,72.12474551,70.08691092,70.07929264,70.07520929,70.06184156,70.05752029,70.04928232,70.05335572,70.03683037
3,X2010.2,3,0,2010,29.22922032,19.84734691,0.173214286,14.75542458,69.96254513,19.84734691,21.10087749,19.08978239,22.4528204,22.45525079,22.45695668,22.46043713,22.46284469,22.46448288,22.46558963,0.173214286,10.91428571,0.145238095,19.97126602,19.99126662,20.01481764,20.03702875,20.03527089,20.05629358,20.07040878,29.22922032,28.93944826,28.84656738,32.19833554,32.20448388,32.20810869,32.21149709,32.21658426,32.22129817,32.22625966,14.75542458,25.77075827,19.41599012,29.94222368,29.88356586,29.83093968,29.78333116,29.7052333,29.6319736,29.57222516,69.96254513,80.46444278,72.12474551,70.07929264,70.07520929,70.06184156,70.05752029,70.04928232,70.05335572,70.03683037
4,X2010.3,4,0,2010,29.54087546,18.78402682,0.030357143,13.42475807,67.04774108,18.78402682,19.84734691,21.10087749,19.08978239,22.45525079,22.45695668,22.46043713,22.46284469,22.46448288,22.46558963,0.030357143,0.173214286,10.91428571,0.145238095,19.99126662,20.01481764,20.03702875,20.03527089,20.05629358,20.07040878,29.54087546,29.22922032,28.93944826,28.84656738,32.20448388,32.20810869,32.21149709,32.21658426,32.22129817,32.22625966,13.42475807,14.75542458,25.77075827,19.41599012,29.88356586,29.83093968,29.78333116,29.7052333,29.6319736,29.57222516,67.04774108,69.96254513,80.46444278,72.12474551,70.07520929,70.06184156,70.05752029,70.04928232,70.05335572,70.03683037
5,X2010.4,5,0,2010,29.877364,18.97564215,0.000595238,9.748489304,64.64208908,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,22.45695668,22.46043713,22.46284469,22.46448288,22.46558963,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,20.01481764,20.03702875,20.03527089,20.05629358,20.07040878,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,32.20810869,32.21149709,32.21658426,32.22129817,32.22625966,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,29.83093968,29.78333116,29.7052333,29.6319736,29.57222516,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551,70.06184156,70.05752029,70.04928232,70.05335572,70.03683037
6,X2010.5,6,38,2010,30.40756982,19.02751277,0.00297619,8.548267014,63.95020571,19.02751277,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,22.46043713,22.46284469,22.46448288,22.46558963,0.00297619,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,20.03702875,20.03527089,20.05629358,20.07040878,30.40756982,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,32.21149709,32.21658426,32.22129817,32.22625966,8.548267014,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,29.78333116,29.7052333,29.6319736,29.57222516,63.95020571,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551,70.05752029,70.04928232,70.05335572,70.03683037
7,X2010.6,7,0,2010,31.824883,21.13046315,0.008333333,7.869463488,67.92898354,21.13046315,19.02751277,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,22.46284469,22.46448288,22.46558963,0.008333333,0.00297619,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,20.03527089,20.05629358,20.07040878,31.824883,30.40756982,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,32.21658426,32.22129817,32.22625966,7.869463488,8.548267014,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,29.7052333,29.6319736,29.57222516,67.92898354,63.95020571,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551,70.04928232,70.05335572,70.03683037
8,X2010.7,8,0,2010,32.86060578,21.56774177,0.066666667,6.445955364,65.02511806,21.56774177,21.13046315,19.02751277,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,22.46448288,22.46558963,0.066666667,0.008333333,0.00297619,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,20.05629358,20.07040878,32.86060578,31.824883,30.40756982,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,32.22129817,32.22625966,6.445955364,7.869463488,8.548267014,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,29.6319736,29.57222516,65.02511806,67.92898354,63.95020571,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551,70.05335572,70.03683037
9,X2010.8,9,0,2010,33.25809871,20.65144455,0,5.608811851,60.5951656,20.65144455,21.56774177,21.13046315,19.02751277,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,22.46558963,0,0.066666667,0.008333333,0.00297619,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,20.07040878,33.25809871,32.86060578,31.824883,30.40756982,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,32.22625966,5.608811851,6.445955364,7.869463488,8.548267014,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,29.57222516,60.5951656,65.02511806,67.92898354,63.95020571,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551,70.03683037
10,X2010.9,10,0,2010,34.12306913,22.67157001,0,4.43874737,63.77774885,22.67157001,20.65144455,21.56774177,21.13046315,19.02751277,18.97564215,18.78402682,19.84734691,21.10087749,19.08978239,0,0,0.066666667,0.008333333,0.00297619,0.000595238,0.030357143,0.173214286,10.91428571,0.145238095,34.12306913,33.25809871,32.86060578,31.824883,30.40756982,29.877364,29.54087546,29.22922032,28.93944826,28.84656738,4.43874737,5.608811851,6.445955364,7.869463488,8.548267014,9.748489304,13.42475807,14.75542458,25.77075827,19.41599012,63.77774885,60.5951656,65.02511806,67.92898354,63.95020571,64.64208908,67.04774108,69.96254513,80.46444278,72.12474551
