id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,17.94604167,7.702305129,0.235588235,35.15701893,77.08114899,7.702305129,18.80125414,18.816902,18.83008135,18.84365674,18.85612087,18.86821166,18.87738086,18.88061716,18.88433447,0.235588235,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.03291559,18.03291559,17.94604167,31.378826,31.39107415,31.39960731,31.40908395,31.4161214,31.42259048,31.4278412,31.43042174,31.43129538,35.15701893,38.43368009,38.397726,38.36192423,38.32729488,38.29050124,38.25627639,38.22419771,38.18860636,38.15199258,77.08114899,61.43354693,61.39259844,61.41962497,61.45559729,61.49371498,61.52511584,61.56337349,61.59347258,61.62005158
2,X2010.1,2,0,2010,16.73657369,7.235333468,4.766176471,32.85699921,77.07603409,7.235333468,7.702305129,18.816902,18.83008135,18.84365674,18.85612087,18.86821166,18.87738086,18.88061716,18.88433447,4.766176471,0.235588235,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.03291559,18.03291559,16.73657369,17.94604167,31.39107415,31.39960731,31.40908395,31.4161214,31.42259048,31.4278412,31.43042174,31.43129538,32.85699921,35.15701893,38.397726,38.36192423,38.32729488,38.29050124,38.25627639,38.22419771,38.18860636,38.15199258,77.07603409,77.08114899,61.39259844,61.41962497,61.45559729,61.49371498,61.52511584,61.56337349,61.59347258,61.62005158
3,X2010.2,3,0,2010,17.15504862,7.120475785,0,30.69943691,76.5210618,7.120475785,7.235333468,7.702305129,18.83008135,18.84365674,18.85612087,18.86821166,18.87738086,18.88061716,18.88433447,0,4.766176471,0.235588235,18.00613167,18.00613167,18.00613167,18.00613167,18.00613167,18.03291559,18.03291559,17.15504862,16.73657369,17.94604167,31.39960731,31.40908395,31.4161214,31.42259048,31.4278412,31.43042174,31.43129538,30.69943691,32.85699921,35.15701893,38.36192423,38.32729488,38.29050124,38.25627639,38.22419771,38.18860636,38.15199258,76.5210618,77.07603409,77.08114899,61.41962497,61.45559729,61.49371498,61.52511584,61.56337349,61.59347258,61.62005158
4,X2010.3,4,0,2010,22.10127624,7.298401992,0,28.16344415,68.10772297,7.298401992,7.120475785,7.235333468,7.702305129,18.84365674,18.85612087,18.86821166,18.87738086,18.88061716,18.88433447,0,0,4.766176471,0.235588235,18.00613167,18.00613167,18.00613167,18.00613167,18.03291559,18.03291559,22.10127624,17.15504862,16.73657369,17.94604167,31.40908395,31.4161214,31.42259048,31.4278412,31.43042174,31.43129538,28.16344415,30.69943691,32.85699921,35.15701893,38.32729488,38.29050124,38.25627639,38.22419771,38.18860636,38.15199258,68.10772297,76.5210618,77.07603409,77.08114899,61.45559729,61.49371498,61.52511584,61.56337349,61.59347258,61.62005158
5,X2010.4,5,0,2010,24.95571962,9.244679876,0,23.80777897,50.73392415,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,18.85612087,18.86821166,18.87738086,18.88061716,18.88433447,0,0,0,4.766176471,0.235588235,18.00613167,18.00613167,18.00613167,18.03291559,18.03291559,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,31.4161214,31.42259048,31.4278412,31.43042174,31.43129538,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,38.29050124,38.25627639,38.22419771,38.18860636,38.15199258,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899,61.49371498,61.52511584,61.56337349,61.59347258,61.62005158
6,X2010.5,6,0,2010,25.48754076,11.53740177,12.54529412,24.92680933,59.1436347,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,18.86821166,18.87738086,18.88061716,18.88433447,12.54529412,0,0,0,4.766176471,0.235588235,18.00613167,18.00613167,18.03291559,18.03291559,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,31.42259048,31.4278412,31.43042174,31.43129538,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,38.25627639,38.22419771,38.18860636,38.15199258,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899,61.52511584,61.56337349,61.59347258,61.62005158
7,X2010.6,7,0,2010,24.34725698,11.71017241,3.712352941,28.99254923,58.11745308,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,18.87738086,18.88061716,18.88433447,3.712352941,12.54529412,0,0,0,4.766176471,0.235588235,18.00613167,18.03291559,18.03291559,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,31.4278412,31.43042174,31.43129538,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,38.22419771,38.18860636,38.15199258,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899,61.56337349,61.59347258,61.62005158
8,X2010.7,8,0,2010,27.53634474,11.74064505,1.216764706,17.01993905,51.9003856,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,18.88061716,18.88433447,1.216764706,3.712352941,12.54529412,0,0,0,4.766176471,0.235588235,18.03291559,18.03291559,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,31.43042174,31.43129538,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,38.18860636,38.15199258,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899,61.59347258,61.62005158
9,X2010.8,9,0,2010,31.51545255,15.22363179,0,15.25399733,42.30304445,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,18.88433447,0,1.216764706,3.712352941,12.54529412,0,0,0,4.766176471,0.235588235,18.03291559,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,31.43129538,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,38.15199258,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899,61.62005158
10,X2010.9,10,0,2010,30.56105265,15.02000264,0.265,14.95690747,36.05461148,15.02000264,15.22363179,11.74064505,11.71017241,11.53740177,9.244679876,7.298401992,7.120475785,7.235333468,7.702305129,0.265,0,1.216764706,3.712352941,12.54529412,0,0,0,4.766176471,0.235588235,30.56105265,31.51545255,27.53634474,24.34725698,25.48754076,24.95571962,22.10127624,17.15504862,16.73657369,17.94604167,14.95690747,15.25399733,17.01993905,28.99254923,24.92680933,23.80777897,28.16344415,30.69943691,32.85699921,35.15701893,36.05461148,42.30304445,51.9003856,58.11745308,59.1436347,50.73392415,68.10772297,76.5210618,77.07603409,77.08114899
