id,Var.1,week,cases,year,mxtemp,mntemp,rain,soilmstre,relhum,mntemp_lag0,mntemp_lag1,mntemp_lag2,mntemp_lag3,mntemp_lag4,mntemp_lag5,mntemp_lag6,mntemp_lag7,mntemp_lag8,mntemp_lag9,rain_lag0,rain_lag1,rain_lag2,rain_lag3,rain_lag4,rain_lag5,rain_lag6,rain_lag7,rain_lag8,rain_lag9,mxtemp_lag0,mxtemp_lag1,mxtemp_lag2,mxtemp_lag3,mxtemp_lag4,mxtemp_lag5,mxtemp_lag6,mxtemp_lag7,mxtemp_lag8,mxtemp_lag9,soil_mstre_lag0,soil_mstre_lag1,soil_mstre_lag2,soil_mstre_lag3,soil_mstre_lag4,soil_mstre_lag5,soil_mstre_lag6,soil_mstre_lag7,soil_mstre_lag8,soil_mstre_lag9,rel_hum_lag0,rel_hum_lag1,rel_hum_lag2,rel_hum_lag3,rel_hum_lag4,rel_hum_lag5,rel_hum_lag6,rel_hum_lag7,rel_hum_lag8,rel_hum_lag9
1,X2010,1,0,2010,21.3213818,9.265206154,0,17.90158791,70.20526061,9.265206154,19.79340746,19.80458975,19.81336892,19.82340344,19.83103281,19.8385073,19.8445359,19.8466659,19.84819784,0,33.41786724,33.47171743,33.47171743,33.47171743,33.47171743,33.47171743,33.52123706,33.52123706,33.52123706,21.3213818,30.23648385,30.24536934,30.25257458,30.25996763,30.26502847,30.27010029,30.27444922,30.27668142,30.27801312,17.90158791,33.84455447,33.8070697,33.763474,33.72396341,33.68038291,33.64181739,33.59751226,33.54872737,33.50271116,70.20526061,72.60862766,72.59228346,72.63825256,72.67793162,72.72332865,72.76059177,72.79950954,72.83593791,72.86901688
2,X2010.1,2,0,2010,21.85396558,10.4713019,0.113513514,17.55984614,66.12152976,10.4713019,9.265206154,19.80458975,19.81336892,19.82340344,19.83103281,19.8385073,19.8445359,19.8466659,19.84819784,0.113513514,0,33.47171743,33.47171743,33.47171743,33.47171743,33.47171743,33.52123706,33.52123706,33.52123706,21.85396558,21.3213818,30.24536934,30.25257458,30.25996763,30.26502847,30.27010029,30.27444922,30.27668142,30.27801312,17.55984614,17.90158791,33.8070697,33.763474,33.72396341,33.68038291,33.64181739,33.59751226,33.54872737,33.50271116,66.12152976,70.20526061,72.59228346,72.63825256,72.67793162,72.72332865,72.76059177,72.79950954,72.83593791,72.86901688
3,X2010.2,3,0,2010,21.18861135,10.30329867,0.016216216,17.49394938,69.46272049,10.30329867,10.4713019,9.265206154,19.81336892,19.82340344,19.83103281,19.8385073,19.8445359,19.8466659,19.84819784,0.016216216,0.113513514,0,33.47171743,33.47171743,33.47171743,33.47171743,33.52123706,33.52123706,33.52123706,21.18861135,21.85396558,21.3213818,30.25257458,30.25996763,30.26502847,30.27010029,30.27444922,30.27668142,30.27801312,17.49394938,17.55984614,17.90158791,33.763474,33.72396341,33.68038291,33.64181739,33.59751226,33.54872737,33.50271116,69.46272049,66.12152976,70.20526061,72.63825256,72.67793162,72.72332865,72.76059177,72.79950954,72.83593791,72.86901688
4,X2010.3,4,0,2010,24.7572497,9.641919396,0,14.55911485,56.85917191,9.641919396,10.30329867,10.4713019,9.265206154,19.82340344,19.83103281,19.8385073,19.8445359,19.8466659,19.84819784,0,0.016216216,0.113513514,0,33.47171743,33.47171743,33.47171743,33.52123706,33.52123706,33.52123706,24.7572497,21.18861135,21.85396558,21.3213818,30.25996763,30.26502847,30.27010029,30.27444922,30.27668142,30.27801312,14.55911485,17.49394938,17.55984614,17.90158791,33.72396341,33.68038291,33.64181739,33.59751226,33.54872737,33.50271116,56.85917191,69.46272049,66.12152976,70.20526061,72.67793162,72.72332865,72.76059177,72.79950954,72.83593791,72.86901688
5,X2010.4,5,0,2010,25.89579237,10.89475671,0,11.00587274,54.16577461,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,19.83103281,19.8385073,19.8445359,19.8466659,19.84819784,0,0,0.016216216,0.113513514,0,33.47171743,33.47171743,33.52123706,33.52123706,33.52123706,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,30.26502847,30.27010029,30.27444922,30.27668142,30.27801312,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,33.68038291,33.64181739,33.59751226,33.54872737,33.50271116,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061,72.72332865,72.76059177,72.79950954,72.83593791,72.86901688
6,X2010.5,6,0,2010,26.83457177,12.93506298,0.040540541,9.564019847,57.28666654,12.93506298,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,19.8385073,19.8445359,19.8466659,19.84819784,0.040540541,0,0,0.016216216,0.113513514,0,33.47171743,33.52123706,33.52123706,33.52123706,26.83457177,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,30.27010029,30.27444922,30.27668142,30.27801312,9.564019847,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,33.64181739,33.59751226,33.54872737,33.50271116,57.28666654,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061,72.76059177,72.79950954,72.83593791,72.86901688
7,X2010.6,7,0,2010,27.33468411,15.39704275,5.924324324,9.732226161,59.75884784,15.39704275,12.93506298,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,19.8445359,19.8466659,19.84819784,5.924324324,0.040540541,0,0,0.016216216,0.113513514,0,33.52123706,33.52123706,33.52123706,27.33468411,26.83457177,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,30.27444922,30.27668142,30.27801312,9.732226161,9.564019847,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,33.59751226,33.54872737,33.50271116,59.75884784,57.28666654,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061,72.79950954,72.83593791,72.86901688
8,X2010.7,8,0,2010,28.26805005,14.94138692,1.935135135,7.489078825,54.29972975,14.94138692,15.39704275,12.93506298,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,19.8466659,19.84819784,1.935135135,5.924324324,0.040540541,0,0,0.016216216,0.113513514,0,33.52123706,33.52123706,28.26805005,27.33468411,26.83457177,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,30.27668142,30.27801312,7.489078825,9.732226161,9.564019847,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,33.54872737,33.50271116,54.29972975,59.75884784,57.28666654,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061,72.83593791,72.86901688
9,X2010.8,9,0,2010,31.03244904,17.54484182,1.593693694,9.106704386,53.31330917,17.54484182,14.94138692,15.39704275,12.93506298,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,19.84819784,1.593693694,1.935135135,5.924324324,0.040540541,0,0,0.016216216,0.113513514,0,33.52123706,31.03244904,28.26805005,27.33468411,26.83457177,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,30.27801312,9.106704386,7.489078825,9.732226161,9.564019847,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,33.50271116,53.31330917,54.29972975,59.75884784,57.28666654,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061,72.86901688
10,X2010.9,10,0,2010,31.53296393,18.77911852,0.027927928,7.094281786,49.04162299,18.77911852,17.54484182,14.94138692,15.39704275,12.93506298,10.89475671,9.641919396,10.30329867,10.4713019,9.265206154,0.027927928,1.593693694,1.935135135,5.924324324,0.040540541,0,0,0.016216216,0.113513514,0,31.53296393,31.03244904,28.26805005,27.33468411,26.83457177,25.89579237,24.7572497,21.18861135,21.85396558,21.3213818,7.094281786,9.106704386,7.489078825,9.732226161,9.564019847,11.00587274,14.55911485,17.49394938,17.55984614,17.90158791,49.04162299,53.31330917,54.29972975,59.75884784,57.28666654,54.16577461,56.85917191,69.46272049,66.12152976,70.20526061
